Tarih;Ürün;Fiyat
23.03.2015;Buji Takımı; 21,66 ₺ 
26.04.2016;Debiyaj Seti; 21,66 ₺ 
24.07.2016;Buji Takımı; 425,25 ₺ 
3.11.2016;Rot Kolu; 122,16 ₺ 
2.08.2015;Buji Takımı; 40,40 ₺ 
31.07.2016;Rot Başı; 758,22 ₺ 
7.10.2016;Fren Balatası; 425,25 ₺ 
8.03.2015;Buji Takımı; 758,22 ₺ 
3.11.2016;Fren Disk; 63,80 ₺ 
5.11.2016;Rot Kolu; 63,80 ₺ 
4.12.2016;Rot Kolu; 63,80 ₺ 
15.03.2016;Rot Kolu; 122,16 ₺ 
16.07.2016;Fren Balatası; 21,66 ₺ 
9.09.2015;Rot Kolu; 63,80 ₺ 
28.05.2015;Trigger Seti; 21,66 ₺ 
18.11.2015;Fren Balatası; 425,25 ₺ 
24.05.2015;Buji Takımı; 758,22 ₺ 
28.02.2015;Rot Kolu; 758,22 ₺ 
15.03.2015;Buji Takımı; 122,16 ₺ 
1.08.2016;Rot Kolu; 63,80 ₺ 
11.06.2015;Buji Takımı; 425,25 ₺ 
13.01.2015;Fren Disk; 21,66 ₺ 
24.10.2016;Buji Takımı; 758,22 ₺ 
17.08.2016;Trigger Seti; 40,40 ₺ 
22.01.2016;Rot Başı; 122,16 ₺ 
22.06.2015;Fren Disk; 21,66 ₺ 
15.06.2016;Fren Balatası; 425,25 ₺ 
26.11.2015;Buji Takımı; 40,40 ₺ 
25.10.2015;Rot Başı; 425,25 ₺ 
27.06.2016;Fren Disk; 425,25 ₺ 
6.06.2015;Fren Balatası; 21,66 ₺ 
4.12.2015;Debiyaj Seti; 122,16 ₺ 
14.12.2016;Fren Disk; 63,80 ₺ 
17.01.2016;Debiyaj Seti; 63,80 ₺ 
4.01.2015;Buji Takımı; 40,40 ₺ 
18.02.2015;Fren Disk; 758,22 ₺ 
13.04.2015;Debiyaj Seti; 21,66 ₺ 
19.12.2016;Rot Kolu; 21,66 ₺ 
1.08.2015;Trigger Seti; 122,16 ₺ 
20.05.2015;Rot Başı; 425,25 ₺ 
20.04.2015;Rot Başı; 425,25 ₺ 
23.03.2016;Fren Balatası; 21,66 ₺ 
